"顺序","来源行","题目编号","题目类型","一级维度编号","一级维度名称","维度ID","维度编号","维度名称","维度内题号","题目内容","考察点","计分方向","启用状态","审核状态","审核备注"
"20","23","A1-03-Q04","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","4","对于耗时较长的任务，我会设定中间节点并对照进度。","过程监控","forward","enabled","pending_review",""
"21","24","A1-03-Q05","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","5","新任务出现，我会重新调整原有安排以适应变化。","灵活调整","forward","enabled","pending_review",""
"22","25","A1-03-Q06","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","6","我会复盘每项完成的工作。","复盘改进","forward","enabled","pending_review",""
"23","26","A1-03-Q07","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","7","我通常优先做容易的事，把困难的留到后面。","优先级合理","reverse","enabled","pending_review",""
"24","27","A1-03-Q08","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","8","制定时间表时，我喜欢安排得满满当当，不留空余。","风险预留意识","reverse","enabled","pending_review",""
"25","28","A1-04-Q01","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","1","我经常主动寻找与工作相关的新知识、新技能来学习。","主动获取信息","forward","enabled","pending_review",""
"26","29","A1-04-Q02","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","2","掌握新技能后，我会整理成要点记录以备后续回顾。","知识固化","forward","enabled","pending_review",""
"27","30","A1-04-Q03","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","3","学到的内容，我会主动思考如何在当前工作中运用。","学用结合","forward","enabled","pending_review",""
"28","31","A1-04-Q04","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","4","我经常向有经验的同事请教，以纠正自己的认知盲区。","求助与反馈","forward","enabled","pending_review",""
"29","32","A1-04-Q05","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","5","每当遇到不懂的问题，我一定要把它弄明白才肯罢休。","探究精神","forward","enabled","pending_review",""
"30","33","A1-04-Q06","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","6","我会利用零散时间观看教学短片或阅读简短资料来补充知识。","碎片化学习","forward","enabled","pending_review",""
"31","34","A1-04-Q07","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","7","我觉得现有知识足够应付日常，没必要额外花时间学习。","学习动力","reverse","enabled","pending_review",""
"32","35","A1-04-Q08","dimension","general_ability","通用能力","competency-a1-04","A1-04","持续学习","8","集体学习活动中，我倾向倾听，不主动分享个人见解。","分享意愿","reverse","enabled","pending_review",""
"33","36","A1-05-Q01","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","1","我能用“结论先行+证据支撑”的结构，在3分钟内完成一次完整的工作进展汇报。","汇报清晰","forward","enabled","pending_review",""
"34","37","A1-05-Q02","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","2","接到任务后，我习惯用“我这样理解对不对……”句式复述要求，并让对方纠正。","澄清确认","forward","enabled","pending_review",""
"35","38","A1-05-Q03","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","3","书面材料中，我会将关键请求单独标注，便于对方识别。","书面突出重点","forward","enabled","pending_review",""
"36","39","A1-05-Q04","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","4","口头交流时，我会留意对方的反应，并及时调整表达方式。","互动调节","forward","enabled","pending_review",""
"37","40","A1-05-Q05","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","5","使用即时通讯时，我会先交代背景再提出具体问题。","线上表达清晰","forward","enabled","pending_review",""
"38","41","A1-05-Q06","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","6","传达完信息后，我会请对方说出接下来要做的第一步行动，以此验证他真听懂了。","理解验证","forward","enabled","pending_review",""
"39","42","A1-05-Q07","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","7","我习惯连续说完所有内容，较少中途停顿询问对方理解情况。","沟通互动性","reverse","enabled","pending_review",""
"40","43","A1-05-Q08","dimension","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","8","在多人交叉讨论中，我有时记不全所有人的关键信息。","信息接收准确性","reverse","enabled","pending_review",""
"41","44","B1-01-Q01","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","1","我会认真对待每一项分内分外的任务。","认真负责","forward","enabled","pending_review",""
"42","45","B1-01-Q02","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","2","发现工作出现问题时，我会主动提出改进方案并推动落实。","主动担责","forward","enabled","pending_review",""
"43","46","B1-01-Q03","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","3","对待工作我始终保持尽心尽责的态度。","责任认同","forward","enabled","pending_review",""
"44","47","B1-01-Q04","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","4","日常工作中，我始终保持着全身心投入状态。","投入状态","forward","enabled","pending_review",""
"45","48","B1-01-Q05","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","5","紧急任务来临时，我愿意主动加班配合。","奉献精神","forward","enabled","pending_review",""
"46","49","B1-01-Q06","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","6","即使是单调重复的工作，我仍能认真对待每个细节。","持续专注","forward","enabled","pending_review",""
"47","50","B1-01-Q07","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","7","我认为工作做到基本达标就行。","高标准要求","reverse","enabled","pending_review",""
"48","51","B1-01-Q08","dimension","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","8","下班时间一到就可以停止工作，未完成部分上班了再接着做。","工作投入","reverse","enabled","pending_review",""
"49","52","B1-02-Q01","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","1","制定方案前，我先评估现有资源是否充足。","可行性评估","forward","enabled","pending_review",""
"50","53","B1-02-Q02","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","2","凡事我都能做到实事求是。","现实检验","forward","enabled","pending_review",""
"51","54","B1-02-Q03","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","3","汇报时，我如实反映未达标部分并提出补救办法。","客观呈报","forward","enabled","pending_review",""
"52","55","B1-02-Q04","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","4","我总能将长远目标转化为近期可操作的具体步骤。","目标落地","forward","enabled","pending_review",""
"53","56","B1-02-Q05","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","5","即使需要承担严重后果，我也会如实汇报工作。","坦诚反馈","forward","enabled","pending_review",""
"54","57","B1-02-Q06","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","6","我能将工作做成标杆。","成果标杆","forward","enabled","pending_review",""
"55","58","B1-02-Q07","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","7","工作汇报时应该好的多说一些，坏的尽量不说。","客观呈现","reverse","enabled","pending_review",""
"56","59","B1-02-Q08","dimension","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","8","面对难题，我先构想理想方案，再回头审视现实条件。","理想与现实的顺序","reverse","enabled","pending_review",""
"57","60","B1-03-Q01","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","1","工作中我总能从容不迫。","行为节制","forward","enabled","pending_review",""
"58","61","B1-03-Q02","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","2","在需要当机立断时，我总能镇静地利用理智。","情绪与行为控制","forward","enabled","pending_review",""
"59","62","B1-03-Q03","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","3","在人声嘈杂中，我仍然能不受干扰，专心工作。","专注与抗干扰","forward","enabled","pending_review",""
"60","63","B1-03-Q04","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","4","尽管有的同事和我意见不合，但我仍能跟他团结共事。","人际克制","forward","enabled","pending_review",""
"61","64","B1-03-Q05","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","5","我在工作和学习上，总是设法使自己不粗心大意、忽略细节。","严谨细致","forward","enabled","pending_review",""
"62","65","B1-03-Q06","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","6","在参加讨论时，我总是能把握住自己的立场。","立场坚定","forward","enabled","pending_review",""
"63","66","B1-03-Q07","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","7","我宁愿选择一个工资较高的工作，不在乎是否有保障，不愿做工资低的固定工作。","冲动与务实","reverse","enabled","pending_review",""
"64","67","B1-03-Q08","dimension","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","8","我常常会无端地自言自语。","自我控制","reverse","enabled","pending_review",""
"65","68","B1-04-Q01","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","1","如果有人同我竞争，我会干得特别有劲。","竞争激发","forward","enabled","pending_review",""
"66","69","B1-04-Q02","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","2","只要能够成功，我愿意付出任何代价。","代价承受","forward","enabled","pending_review",""
"67","70","B1-04-Q03","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","3","我有一个在别人看来是高不可攀的目标，并时刻为之奋斗。","挑战目标","forward","enabled","pending_review",""
"68","71","B1-04-Q04","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","4","别人越是说我不行，我越是要干。","逆境证明","forward","enabled","pending_review",""
"69","72","B1-04-Q05","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","5","我一定要做到工作成绩比别人突出。","超越他人","forward","enabled","pending_review",""
"70","73","B1-04-Q06","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","6","困难越大，我的信心越强。","迎难而上","forward","enabled","pending_review",""
"71","74","B1-04-Q07","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","7","我一定要在工作中取得突出的成绩，这是人生价值的体现。","价值实现","forward","enabled","pending_review",""
"72","75","B1-04-Q08","dimension","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","8","我认为，只要努力，没有做过的工作我也能够做好。","自我效能","forward","enabled","pending_review",""
"73","76","B1-05-Q01","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","1","同事忙时，我愿意主动分担其部分职责。","补位意识","forward","enabled","pending_review",""
"74","77","B1-05-Q02","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","2","集体讨论中，我会提出不同的方案供大家权衡。","建设性分歧","forward","enabled","pending_review",""
"75","78","B1-05-Q03","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","3","团队共享重要信息时，我会确保每位成员都已收到并理解。","信息共享","forward","enabled","pending_review",""
"76","79","B1-05-Q04","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","4","跨部门合作时，我会定期向合作部门同步我部门进度。","跨部门信息同步","forward","enabled","pending_review",""
"77","80","B1-05-Q05","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","5","团队分工时，我会根据各人特长和当前工作量提出合理建议。","分工意识","forward","enabled","pending_review",""
"78","81","B1-05-Q06","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","6","当个人想法与团队决定不一致时，我会先服从团队整体安排。","集体优先","forward","enabled","pending_review",""
"79","82","B1-05-Q07","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","7","为避免争执，我通常不在公开场合反对他人提议。","意见表达勇气","reverse","enabled","pending_review",""
"80","83","B1-05-Q08","dimension","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","8","我对同事的工作不感兴趣，只想专心做好本职工作。","团队关注","reverse","enabled","pending_review",""
"81","84","P1-VAL-Q01","validity","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","1","无论信息多复杂，我都能一次性记住全部细节并理清逻辑。","粗心/脱离现实（正常人无法一遍记住所有细节）","forward","enabled","pending_review",""
"82","85","P1-VAL-Q02","validity","general_ability","通用能力","competency-a1-02","A1-02","数字应用","2","我用过的每款新工具，从未出现过任何操作失误或理解偏差。","极端美化（任何人使用新工具都有摸索期）","forward","enabled","pending_review",""
"83","86","P1-VAL-Q03","validity","general_ability","通用能力","competency-a1-03","A1-03","计划执行","3","我制定的每一个计划都分秒不差地得到了完美执行。","粗心/极端偏差（现实中不可能“每一个”都完美）","forward","enabled","pending_review",""
"84","87","P1-VAL-Q04","validity","general_ability","通用能力","competency-a1-04","A1-04","持续学习","4","任何新技能，我只需要观看一次演示就能完全掌握。","粗心/脱离现实（违反基本学习规律）","forward","enabled","pending_review",""
"85","88","P1-VAL-Q05","validity","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","5","在我的沟通经历中，从未出现过一次信息被对方误解。","极端美化（沟通不可能永远零误解）","forward","enabled","pending_review",""
"86","89","P1-VAL-Q06","validity","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","6","即使在连续高强度工作后，我也从未出现过注意力分散或效率下降。","极端美化（违反人体生理规律）","forward","enabled","pending_review",""
"87","90","P1-VAL-Q07","validity","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","7","我经手核对的所有数据与信息，都从未出现过任何偏差或遗漏。","极端美化（人工处理数据不可能零失误）","forward","enabled","pending_review",""
"88","91","P1-VAL-Q08","validity","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","8","无论外部环境如何变化，我的情绪都始终保持完全平稳。","粗心/脱离现实（正常人都会有情绪波动）","forward","enabled","pending_review",""
"89","92","P1-VAL-Q09","validity","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","9","我过去设定的所有工作目标，最终完成度都达到了120%以上。","粗心/极端偏差（不可能“所有”目标都超额完成）","forward","enabled","pending_review",""
"90","93","P1-VAL-Q10","validity","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","10","在团队讨论中，我提出的建议从未被团队成员提出过修改意见。","粗心/脱离现实（团队中不可能没人提过修改意见）","forward","enabled","pending_review",""
