"顺序","维度ID","维度编号","维度名称","等级编号","二级标签","一级标签","最小分","包含最小分","最大分","包含最大分","显示区间","诊断与建议","审核状态","审核备注"
"3","competency-a1-03","A1-03","计划执行","L1","差","低分","1","1","1.7","1","1.0—1.7分","无法按计划开展工作，经常忘记任务或延期，需要反复催促和全程监督才能完成最基础的工作。建议受测者先从“日事日清”做起，每天上班后列出当天最重要的两件任务，完成一件当场记录一件；建议配备工作台账和提醒工具，重要节点由专人核查提醒，先依靠外部机制保障基本执行，再逐步培养自主安排能力。","pending_review",""
"3","competency-a1-03","A1-03","计划执行","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","基本能按要求开始行动，但时间管理不够严格，执行中有时会分心，部分任务需要反复提醒才能完成。建议受测者每天上班时列出任务清单，完成后逐项打勾，建立基本的执行节奏。同时可设定简单的时间提醒，帮助自己建立对时间节点的感知。","pending_review",""
"3","competency-a1-03","A1-03","计划执行","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能按时启动任务并跟进，时间节点意识较好，能按计划推进工作，但在任务并行或难度较大时偶有效率波动。建议受测者在接到任务时先把工作拆成几个阶段，为每个阶段设置一个完成时间，并预留缓冲时间。每完成一个阶段就进行进度核查，提前识别延期风险。","pending_review",""
"3","competency-a1-03","A1-03","计划执行","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","执行任务时，不拖延、积极行动，紧盯时间节点，绝大多数任务能按时完成，交付质量稳定。建议受测者在任务较多时主动评估优先级，重新调配时间和精力，必要时及时与相关方沟通确认调整方向。同时养成完成任务后简单复盘的习惯，总结哪些做法有效、哪些需要改进，逐步沉淀出适合自己的一套执行方法。","pending_review",""
"3","competency-a1-03","A1-03","计划执行","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","接到任务即快速启动，时间节点意识明确，以稳定的高质量标准推进并完成工作，交付成果令人满意。面对多任务并行时能合理安排先后顺序，有条不紊。建议受测者将自己做计划、排优先级、控制进度的方法梳理出来，在团队内进行分享。同时可以尝试接手需要跨周期协调的复杂任务，在更大范围内提升自己的执行能力。","pending_review",""
"4","competency-a1-04","A1-04","持续学习","L1","差","低分","1","1","1.7","1","1.0—1.7分","学习意愿和能力都比较弱，新知识难以学会，需要反复讲解才能勉强理解，几乎无法将所学用于工作。建议受测者从最基础、最贴近岗位的单一知识点学起，每周只聚焦一个主题，在同事或导师的反复讲解和示范下学习，学完立即在简单场景中实操一遍；建议建立“学习—实践—反馈”的小循环，由他人定期检查学习效果，先恢复基本学习能力，再逐步培养主动学习的习惯。","pending_review",""
"4","competency-a1-04","A1-04","持续学习","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","有学习新事物的基本意识，但学习的主动性和方法较为单一，更多依赖被动接收而非主动通过观察、请教和实践来获取知识，吸收速度偏慢。建议受测者尝试用不同的方式去学习新的知识点，从中找到最适合自己的学习方式。但重点不是学多少，而是培养“主动学习”的习惯。","pending_review",""
"4","competency-a1-04","A1-04","持续学习","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","在有明确要求时能主动学习新技能，经过练习后多数能掌握和运用。但举一反三的意识不足，将所学迁移到实际工作中的能力有待加强。建议受测者在学习新东西时，同步思考“这个知识可以用在哪儿”。学完后主动找一个实际场景去试一试，通过应用来检验和巩固学习效果。","pending_review",""
"4","competency-a1-04","A1-04","持续学习","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","大部分新知识、新技能都能通过自主观察和实操较快掌握关键点，并能将所学独立应用到相似的工作情境中。但跨领域的迁移能力和深度钻研的习惯还需要加强。建议受测者学完一项新内容后，主动寻找跟当前工作相关度低的应用可能，拓宽思考的边界。同时可以尝试阅读一些案例类的文章，了解他人是如何应用相似知识的。","pending_review",""
"4","competency-a1-04","A1-04","持续学习","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","善于通过观察、请教和实践等多种方式快速吸收新知识，并将所学灵活应用到不同场景中。建议受测者将学习和应用的经验分享给团队，一方面帮助他人，另一方面通过讲解来深化自己的理解。同时可以锁定一到两个专业方向进行较深度的钻研。","pending_review",""
"5","competency-a1-05","A1-05","沟通表达","L1","差","低分","1","1","1.7","1","1.0—1.7分","难以清楚地表达自己的想法，表达混乱、词不达意，倾听时经常漏掉关键信息，沟通基本无法有效进行。建议受测者从练习“三句话讲清一件事”开始，先在熟悉的同事面前进行简短的口头汇报练习，由对方复述确认是否听懂；每次沟通后记录对方的反馈，在他人指导下纠正表达中的明显问题，逐步建立最基本的表达与倾听能力。","pending_review",""
"5","competency-a1-05","A1-05","沟通表达","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","基本能说清自己的想法，但条理性和重点把握还不够强，倾听时也不够专注，偶尔因表达不清让人误解。建议受测者在需要说明一件事情之前，先想清楚“我最想让对方知道的三点是什么”，然后按照这个顺序来说明。与他人沟通时，养成在对方说完后用自己的话简要复述一遍的习惯，核对理解是否准确。","pending_review",""
"5","competency-a1-05","A1-05","沟通表达","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能把想法表达清楚，让对方理解自己的意图，倾听时也能抓住主要内容，但表述偶尔不够精准。建议受测者练习“结论先行”的表达方式——先说最重要的结论或请求，再补充其他相关内容。同时注意观察对方在听的过程中的反应，如果发现对方有困惑，及时停下来确认一下“我有没有说清楚”。","pending_review",""
"5","competency-a1-05","A1-05","沟通表达","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","多数沟通场景中，能够表达清楚完整，围绕要点把信息说明白，倾听较为专注，对方能准确理解自己的意图。建议受测者在沟通前先根据对方的工作背景和关注点，有意识地调整表达方式和详略程度。多练习用不同的方式说同一件事，提升表达的灵活性。","pending_review",""
"5","competency-a1-05","A1-05","沟通表达","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","沟通中，表达清晰、重点明确，能根据沟通对象灵活调整表达方式；复杂沟通情境中能准确把握对方意图与立场，有效推动共识达成。建议受测者在团队内部承担更多需要协调多方的工作，将沟通优势转化为推动协作的实际能力。同时可以总结自己在沟通方面的心得，帮助身边的同事改善沟通效果。","pending_review",""
"6","competency-b1-01","B1-01","敬业奉献","L1","差","低分","1","1","1.7","1","1.0—1.7分","对工作缺乏基本的责任心，经常拖延或敷衍了事，需要在持续监督下才能维持最低限度的正常工作。建议受测者从“对交办事项负责到底”做起，每件任务完成后主动向上级汇报结果，接受检查与反馈，养成“接事必办、办完必报”的基本习惯，逐步内化为自觉行为。","pending_review",""
"6","competency-b1-01","B1-01","敬业奉献","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","能基本完成分内职责，对工作有一定的责任心，但投入度和奉献精神尚不够，需要额外付出时倾向于回避，有时需要反复推动才能跟上节奏。建议受测者先从“当日事当日毕”做起，对待每一项任务不推诿、不拖延，守住责任底线；在此基础上，再逐步培养主动多做一点的习惯。","pending_review",""
"6","competency-b1-01","B1-01","敬业奉献","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能认真对待本职工作，按时保质完成任务，需要时愿意多花时间和精力，但主动奉献和承担额外工作的意识还不够强，倾向于“做安排好的事”。建议受测者在完成本职工作后，多问一句“我还能做什么”，主动观察团队当前需要什么支持。从小的额外工作开始，在具体行动中逐步养成主动承担的习惯。","pending_review",""
"6","competency-b1-01","B1-01","敬业奉献","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","具备较强的使命感和责任感，能主动承担分内分外的工作，愿意为团队目标付出额外努力，交付质量有保障。建议受测者培养提前发现需求的能力，主动填补工作中的空白，而不是等别人来安排。同时关注工作成果对团队目标的实际贡献，从“做事”提升到“做成事”。","pending_review",""
"6","competency-b1-01","B1-01","敬业奉献","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","具备高度的责任感和投入度，将工作视为自己的事情来对待。在关键时刻能以大局为重，不计较个人得失，主动承担急难任务。建议受测者从“完成任务”转向“创造价值”，多思考自己的工作如何更好地服务团队整体目标。同时通过自己的行为影响身边的同事，在团队中发挥正向带动作用。","pending_review",""
"7","competency-b1-02","B1-02","求真务实","L1","差","低分","1","1","1.7","1","1.0—1.7分","行事凭感觉和个人喜好，很少考虑事实依据，汇报内容与实际工作往往存在明显出入。建议受测者从“每做一个判断先写出依据”开始，在他人协助下核对基本事实和数据，养成用事实说话的记录习惯；汇报前先自查一遍内容是否与实际相符，由上级对重要汇报进行核实，逐步建立实事求是的基本意识。","pending_review",""
"7","competency-b1-02","B1-02","求真务实","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","基本能按要求推进工作，但更关注事情做完而非效果到位，对事实和数据的重视不够，有时凭感觉和经验做判断，汇报时倾向于呈现有利一面而非如实反映情况。建议受测者在完成每项任务后追问自己一句“这个问题彻底解决了吗”，把标准从“做完”提升到“做到位”。汇报前先自己核对一遍，确保没有被遗漏或美化的部分。","pending_review",""
"7","competency-b1-02","B1-02","求真务实","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能以实际效果为标准衡量工作，但核实意识不够深入，容易止步于表面达标，对事实真相的探究浅尝辄止。建议受测者在听到或看到重要信息时多问一句“这个信息的来源是什么”“还有没有其他说法”，逐步养成核实验证的习惯。遇到问题时尝试多追问一层原因，不要停留在表面现象。","pending_review",""
"7","competency-b1-02","B1-02","求真务实","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","能以事实和效果为决策依据，不凭感觉行事，能主动核实关键数据和信息来源，确保工作建立在客观事实之上。建议受测者在遇到不同来源的说法时，做多方比对和溯源，找到真实可靠的依据。同时更加关注工作成果的实际效果，用数据来检验自己的工作是否有价值。","pending_review",""
"7","competency-b1-02","B1-02","求真务实","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","坚持以事实和效果为衡量标准，追求客观真相，能敏锐地发现信息中的矛盾之处并深入核查。建议受测者在团队内推广“以结果论成效”的思维方式，引导团队成员关注真实产出而非过程形式。在涉及重要判断的任务中，可承担事实核查和质量把关的角色。","pending_review",""
"8","competency-b1-03","B1-03","自律性","L1","差","低分","1","1","1.7","1","1.0—1.7分","自我约束能力较弱，做事随心所欲，难以按规则和要求行事，几乎任何工作都需要外部全程监督。建议受测者从遵守最简单的工作规则做起，如按时上下班、按时完成指定动作，在持续监督下逐步形成最基本的规则意识。","pending_review",""
"8","competency-b1-03","B1-03","自律性","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","在日常工作中，有基础的自我约束力，但做事缺少事先的规划和控制，更容易随性而为，面对约束时容易松懈，不过在有明确规则或外部监督时能收敛行为。建议受测者从给自己设定简单的行为规则开始（如“每天上班前15分钟不做与工作无关的事”），并主动排除环境中的干扰因素。先从短期、易达成的目标练起，逐步建立自律的信心。","pending_review",""
"8","competency-b1-03","B1-03","自律性","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能按基本要求约束自身行为，有规划意识但不够系统和稳定，面对周期长或重复性高的工作时容易松懈，不过在明确节点约束下能跟上节奏。建议其在接到任务时主动制定书面计划，设定具体的阶段目标和时间节点。每完成一个阶段就给自己一点正向反馈，通过“计划—执行—复盘”的循环维持专注，逐步将外部约束内化为自觉行动。","pending_review",""
"8","competency-b1-03","B1-03","自律性","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","能主动约束自身行为，具备一定的个人标准，能按计划推进工作，面对常规任务时能保持专注，但在独立状态下偶有松懈，需偶尔提醒才能维持节奏。建议受测者养成每日复盘的习惯——今天哪些做到了、哪些没做到、为什么。通过持续的自我反馈，逐步提升自我管理能力。同时注意在执行计划时留出适度的弹性空间，让计划更可持续。","pending_review",""
"8","competency-b1-03","B1-03","自律性","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","能自律处事，具备清晰的个人标准并以此严格要求自己，言行一致，即便在无人监督时也能按既定计划和规则行事。建议受测者将自律的经验与方法分享给团队，帮助同事建立更好的自我管理习惯。在承担需要长期持续投入的任务时，可充分发挥其在节奏把控方面的优势。","pending_review",""
"9","competency-b1-04","B1-04","成就导向","L1","差","低分","1","1","1.7","1","1.0—1.7分","缺乏完成任务的基本动力，遇到一点困难就放弃，需要强烈的外部推动才能完成工作。建议受测者从遵守最基本的作息和工作规则做起（如按时到岗、按要求完成指定动作），由直接上级进行日常检查和反馈；先借助外部监督和提醒工具维持基本秩序，在稳定执行一段时间后，再逐步尝试自我管理单一事项，循序渐进地建立规则意识。","pending_review",""
"9","competency-b1-04","B1-04","成就导向","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","基本能完成交办的任务，但目标意识不够清晰，对自身能否成功信心不足，不愿承担创新性或挑战性工作，害怕面对失败和困难。但在明确指引或外部激励下，也能完成基本要求。建议受测者从设定小的、明确的目标开始，通过实现一个个小目标来积累“我能行”的正向体验。现阶段不必刻意追求难度，重点是建立敢于尝试的心理基础。","pending_review",""
"9","competency-b1-04","B1-04","成就导向","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","有一定的责任感，愿意尽力达到既定标准和要求，但面对挑战性工作时常感到焦虑、把握不大，不过仍能努力完成任务。建议受测者在接到有难度的任务时，先拆解为若干可控的小步骤，分步推进，每完成一步就给自己一次正向确认。同时观察团队中成就动机较强的同事是如何看待和处理挑战的，从中获得启发和借鉴。","pending_review",""
"9","competency-b1-04","B1-04","成就导向","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","目标较为明确，自信心较强，相信自己能把事情办好，愿意接受有挑战性的任务并努力完成。建议受测者在完成一个目标后，主动复盘“还有哪些地方可以做得更好”，逐步培养持续改进的意识。同时可在常规任务之外，主动寻找一些能提升自身能力的额外挑战，保持向上的动力。","pending_review",""
"9","competency-b1-04","B1-04","成就导向","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","有明确的目标，自信心强，为达成目标全力以赴、不轻易放弃，主动争取挑战性的工作机会。建议受测者在团队中主动承担需要攻坚克难的任务，进一步验证和提升自己在高难度情境下的表现。同时关注自身的职业发展路径，将短期目标与长期成长方向有机结合起来。","pending_review",""
"10","competency-b1-05","B1-05","合作意识","L1","差","低分","1","1","1.7","1","1.0—1.7分","不太参与团队协作，只关注自己，不愿配合他人，与其他成员共事比较困难。建议受测者从履行协作中的最基本责任做起，如按时、按要求提供自己负责的部分；由团队负责人明确其协作分工和接口要求，必要时安排经验丰富的同事带教，在其完成协作动作后及时给予反馈，逐步建立最基本的配合意识。","pending_review",""
"10","competency-b1-05","B1-05","合作意识","L2","较差","较低分","1.7","0","2.7","1","1.7—2.7分","基本能完成分工内的工作，但习惯独立作业，与同事配合的意识不强，不太关注团队整体进展。分享信息和资源比较被动，遇到意见分歧时容易固守己见。建议受测者从主动确认自己的职责边界和协作要求开始，遇到需要配合的任务时，主动同步工作进展，让他人了解在做什么。练习在分歧出现时先听完对方完整观点，再平和地表达自己的想法，逐步建立协作信任。","pending_review",""
"10","competency-b1-05","B1-05","合作意识","L3","合格","中分","2.7","0","3.5","1","2.7—3.5分","能与团队成员配合，完成分配的任务，遇到分歧时能听取他人合理建议。但主动补位、信息同步和换位思考做得还不够，遇到职责不清时容易各干各的，跨部门合作时也较少主动同步进度。建议受测者在协作中主动同步进展、确认需求，不等对方来问；接手任务前先与相关同事确认分工和边界，明确各自的职责。同时试着站在对方角度理解其困难，用“我怎么帮你推进”的思维替代“我做完自己的就行”。","pending_review",""
"10","competency-b1-05","B1-05","合作意识","L4","较优秀","较高分","3.5","0","4.3","1","3.5—4.3分","能主动配合团队需要，分享信息和资源，能较好地完成分工并支持他人，遇到分歧时也能表达自己的看法。协作整体顺畅，基本不会因个人原因拖慢团队节奏，但在主动发现团队需求和补位方面还可以更主动。建议受测者在团队中主动承担信息对齐和进度同步的工作，帮大家保持信息透明，比如在项目关键节点汇总各方进展。遇到分歧时，先归纳双方立场，再提出兼顾各方利益的方案，而不只是协调或让步。","pending_review",""
"10","competency-b1-05","B1-05","合作意识","L5","优秀","高分","4.3","0","5","1","4.3—5.0分","能积极配合团队协作，主动分享信息和资源，不计较分工轻重，能敏锐发现团队中的空缺并及时补位。敢于在讨论中提出不同方案供大家权衡，善于协调各方达成共识，营造良好的协作氛围。建议受测者进一步发挥“粘合剂”作用，主动关注协作流程中的堵点和卡点，提前化解矛盾。同时可以尝试在跨团队协作中承担牵头协调的角色，把个人协作经验推广到更大范围。","pending_review",""
